continuum-1  | INFO:     Started server process [1]
continuum-1  | INFO:     Waiting for application startup.
continuum-1  | INFO:     Application startup complete.
continuum-1  | INFO:     Uvicorn running on http://0.0.0.0:8788 (Press CTRL+C to quit)
continuum-1  | INFO:     127.0.0.1:43488 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     192.168.65.1:40184 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:43498 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:43508 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:43518 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:43534 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35532 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35548 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35556 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35558 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35562 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40240 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40244 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40250 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40264 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40274 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35764 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35778 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35794 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35810 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53532 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53538 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53554 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53558 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53568 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42020 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42030 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42036 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42040 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42052 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37464 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37476 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37492 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37508 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37514 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:38606 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:38610 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:38622 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:38630 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:38640 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51126 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51134 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51148 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51164 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35956 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35960 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35974 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35978 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:35994 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:48188 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:48204 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:48210 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:48222 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:48226 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:59652 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:59654 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:59660 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:59662 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:59666 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42348 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42364 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42366 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42368 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:42372 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55902 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55908 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55924 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55932 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:57184 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:57188 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:57192 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:57208 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:57218 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:45628 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:45638 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:45640 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:45652 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:45656 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37094 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37102 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37108 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37118 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:37132 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:56844 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:56860 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:56870 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:56884 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:56892 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40880 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40890 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40902 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40904 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:33802 - "GET /state HTTP/1.1" 200 OK
