handrail-1  | INFO:     Started server process [1]
handrail-1  | INFO:     Waiting for application startup.
handrail-1  | INFO:     Application startup complete.
handrail-1  | INFO:     Uvicorn running on http://0.0.0.0:8011 (Press CTRL+C to quit)
handrail-1  | INFO:     127.0.0.1:38928 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:39346 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:39352 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     192.168.65.1:41612 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:39360 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:39368 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:39384 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57102 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57116 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57130 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57136 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57148 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:32996 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:33010 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:33018 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:33030 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:54326 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:54328 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:54336 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:54346 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:54362 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:58404 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:58408 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:58414 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:58426 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:58430 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:34742 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:34748 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:34758 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:34772 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:34786 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:38136 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:38150 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:38160 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:38166 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:51742 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:51746 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:51756 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:51766 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:51780 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:42322 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:42326 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:42336 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:42348 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:42360 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:49264 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:49274 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:49276 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:49288 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:49304 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:37888 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:37890 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:37894 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:37900 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:37904 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:40546 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:40554 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:40562 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:40578 - "GET /healthz HTTP/1.1" 200 OK
handrail-1  | INFO:     127.0.0.1:57154 - "GET /healthz HTTP/1.1" 200 OK
